"Group","Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"A","Idea-to-Text","Flash","50.2","50.2","0.0860808285489136","0.0259785700403748","0.0108574441433635","0.00715690898826681","0.127836234144424","0.455531135531135","0.19857073432946","0.884961499493414","3.83912753616068","0.884961499493414","1","0.874752974510192","0.900788742303848","0.887535399198532"
"B","Idea-to-Text","Flash","51.1","51.1","0.0984473107731621","0.0377797737801745","0.0137343909527894","0.00845117508926936","0.161836369921669","0.587216117216117","0.252152002586785","0.864298488176197","4.02362637045075","0.864298488176197","1","0.870180583000183","0.903075540065765","0.886308711767196"
"C","Idea-to-Text","Flash","47.9","47.9","0.0814001693700736","0.0282472747411562","0.0138535703877619","0.00827529982910792","0.134687555642412","0.465238095238095","0.208007558720639","0.873971815082622","3.69505494219827","0.873971815082622","1","0.870140039920806","0.901597410440445","0.885566526651382"
"","","AVG","49.73333333333334","49.73333333333334","0.08864276956404976","0.0306685395205685","0.012815135161304933","0.007961127968881362","0.14145338656950165","0.5026617826617823","0.21957676521229466","0.874410600917411","3.852602949603233","0.874410600917411","1","0.871691199143727","0.9018205642700193","0.8864702125390367"
"","","STDEV.S","1.650252505931544","1.650252505931544","0.008807605453697458","0.00626210785407617","0.001696457050952518","0.0007020036704816765","0.01798150881651054","0.07338687134380986","0.02860284917889792","0.010338491617758691","0.16469968409670535","0.010338491617758691","0","0.0026516527358121265","0.0011596159815720924","0.0009943222069375007"
"A","Interpret","Flash","83.1","83.1","0.176686974171721","0.0519244548695998","0.0250146230597981","0.0141218207577924","0.179034383204545","0.226980995482473","0.184348951701892","0.809891849974484","1.53987987331463","0.809891849974484","0.994974109046603","0.865034210681915","0.884810006618499","0.87457600235939"
"B","Interpret","Flash","77.4","77.4","0.201146739641719","0.0480454722191278","0.014382475383943","0.00793705526691212","0.144717077358175","0.189958743530172","0.163870881896193","0.82401419707685","1.34108972039386","0.82401419707685","1","0.860822546482086","0.878801953792572","0.869678485393524"
"C","Interpret","Flash","76.8","76.8","0.217791841358482","0.0540640343853676","0.0266377778072287","0.0117907374796175","0.188382025868417","0.223318344476474","0.197993294592992","0.814399458103481","1.27304251785055","0.814399458103481","0.993344594594594","0.85771649479866","0.872116619348526","0.864731454849243"
"","","AVG","79.10000000000001","79.10000000000001","0.198541851723974","0.051344653824698404","0.022011625416989932","0.011283204501440674","0.17071116214371232","0.2134193611630397","0.182071042730359","0.816101835051605","1.3846707038530133","0.816101835051605","0.9961062345470656","0.8611910839875536","0.878576193253199","0.8696619808673857"
"","","STDEV.S","3.477067730142737","3.477067730142737","0.02067587017294135","0.003050885047977859","0.006656696290471846","0.0031234633561559007","0.02299160583171907","0.020399857545695076","0.017174877409303686","0.007213441437694899","0.13865431892738198","0.007213441437694899","0.003469133377253622","0.003672751877912987","0.00634970439959463","0.00492229450758719"
"A","Summarise","Flash","24.6","24.6","0.114511757904885","0.0608331917841282","0.0341286728906029","0.0169925900777218","0.437361795292829","0.192077118897873","0.262156249107286","0.958243799153055","0.426708638201602","0.958243799153055","1","0.916136980056762","0.887074840068817","0.901325172185897"
"B","Summarise","Flash","21","21","0.0963733013564557","0.0421290376000859","0.0217342638265788","0.0148796294074476","0.353637323774623","0.149250970066518","0.205804743037849","0.94116290726817","0.440109842850328","0.94116290726817","1","0.902870893478393","0.875676649808883","0.889049309492111"
"C","Summarise","Flash","20.8","20.8","0.131645952657597","0.0613756248549359","0.028151685863146","0.0132185771009909","0.510873439637741","0.233977489030842","0.31889021147571","0.964421052631578","0.44429930309872","0.964421052631578","1","0.922601544857025","0.892098605632782","0.907047176361084"
"","","AVG","22.133333333333336","22.133333333333336","0.11417700397297924","0.05477928474638333","0.028004874193442567","0.015030265528720098","0.4339575195683976","0.191768525998411","0.2622837345402817","0.954609253017601","0.43703926138355004","0.954609253017601","1","0.9138698061307267","0.8849500318368273","0.8991405526796973"
"","","STDEV.S","2.1385353243127256","2.1385353243127256","0.01763870821798384","0.010958792043646108","0.006198508632030898","0.0018915104858042214","0.07867331728633245","0.042364102446956056","0.05654284200811218","0.012047521556088273","0.009188537739421103","0.012047521556088273","0","0.010058812512640274","0.00841464590981524","0.009195663366417329"
"","","","","","","","","","","","","","","","","","",""
"","","TOTAL","","","","","","","","","","","","","","","",""
"","","AVG","50.32222222222223","50.32222222222223","0.13378720842033434","0.045597492697216746","0.020943878257245814","0.011424865999680713","0.24870735609387054","0.30261655660774434","0.22131051416097844","0.8817072296622057","1.8914376382799327","0.8817072296622057","0.9987020781823551","0.882250696420669","0.888448929786682","0.8850909153620399"
"","","STDEV.S","24.76927420100243","24.76927420100243","0.05181651766107437","0.013028144833617281","0.008081188018827625","0.003582992001932741","0.14568639643601877","0.15651579896125767","0.04780824344520341","0.06085244720940527","1.5308347844927799","0.06085244720940527","0.002607503393652633","0.024768264038380162","0.01167519222960679","0.013836528360375255"
